,states,percent_act_part_2018,act_composite_2018,sat_participation_2018,sat_reading_2018,sat_math_2018,sat_total_2018,percent_act_part_2017,act_english_2017,act_math_2017,act_reading_2017,act_science_2017,act_composite_2017,sat_participation_2017,sat_reading_2017,sat_math_2017,sat_total_2017
37,oregon,42.0,21.3,48.0,564.0,553.0,1117.0,40.0,21.2,21.5,22.4,21.7,21.8,43.0,560.0,548.0,1108.0
38,pennsylvania,20.0,23.5,70.0,547.0,539.0,1086.0,23.0,23.4,23.4,24.2,23.3,23.7,65.0,540.0,531.0,1071.0
39,rhode island,15.0,24.2,97.0,513.0,505.0,1018.0,21.0,24.0,23.3,24.7,23.4,24.0,71.0,539.0,524.0,1062.0
40,south carolina,100.0,18.3,55.0,547.0,523.0,1070.0,100.0,17.5,18.6,19.1,18.9,18.7,50.0,543.0,521.0,1064.0
41,south dakota,77.0,21.9,3.0,622.0,618.0,1240.0,80.0,20.7,21.5,22.3,22.0,21.8,3.0,612.0,603.0,1216.0
42,tennessee,100.0,19.6,6.0,624.0,607.0,1231.0,100.0,19.5,19.2,20.1,19.9,19.8,5.0,623.0,604.0,1228.0
43,texas,45.0,20.7,66.0,520.0,512.0,1032.0,45.0,19.5,20.7,21.1,20.9,20.7,62.0,513.0,507.0,1020.0
44,utah,100.0,20.4,4.0,480.0,530.0,1010.0,100.0,19.5,19.9,20.8,20.6,20.3,3.0,624.0,614.0,1238.0
45,vermont,24.0,24.1,64.0,565.0,554.0,1120.0,29.0,23.3,23.1,24.4,23.2,23.6,60.0,562.0,551.0,1114.0
46,virginia,24.0,23.9,68.0,567.0,550.0,1117.0,29.0,23.5,23.3,24.6,23.5,23.8,65.0,561.0,541.0,1102.0
47,washington,24.0,22.2,69.0,543.0,538.0,1081.0,29.0,20.9,21.9,22.1,22.0,21.9,64.0,541.0,534.0,1075.0
48,west virginia,65.0,20.3,28.0,513.0,486.0,999.0,69.0,20.0,19.4,21.2,20.5,20.4,14.0,558.0,528.0,1086.0
49,wisconsin,100.0,20.5,3.0,641.0,653.0,1294.0,100.0,19.7,20.4,20.6,20.9,20.5,3.0,642.0,649.0,1291.0
50,wyoming,100.0,20.0,3.0,633.0,625.0,1257.0,100.0,19.4,19.8,20.8,20.6,20.2,3.0,626.0,604.0,1230.0
